Latitude (decimal degrees): 67.554
Longitude (decimal degrees): 133.390
Elevation (m): 141.0
month,year
1,2019
2,2005
3,2016
4,2008
5,2017
6,2010
7,2010
8,2009
9,2008
10,2013
11,2013
12,2017
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160301:0600,-32.96,61.38,178.35,775.13,48.65,124.55,0.31,227.0,100710.0
20160301:0700,-32.68,60.54,108.05,758.54,36.5,121.74,0.23,260.0,100690.0
20160301:0800,-30.7,58.05,14.5,0.0,14.5,129.15,0.28,256.0,100680.0
20160301:0900,-31.17,60.15,0.0,-0.0,0.0,129.35,0.21,241.0,100660.0
20160301:1000,-31.94,62.95,0.0,-0.0,0.0,129.0,0.41,225.0,100670.0
20160301:1100,-32.94,65.8,0.0,-0.0,0.0,128.8,0.55,217.0,100651.0
20160301:1200,-33.98,68.85,0.0,-0.0,0.0,128.8,0.69,217.0,100660.0
20160301:1300,-35.0,71.7,0.0,-0.0,0.0,128.4,0.83,219.0,100621.0
20160301:1400,-36.12,71.65,0.0,-0.0,0.0,127.8,0.9,218.0,100601.0
20160301:1500,-37.16,71.4,0.0,-0.0,0.0,127.8,0.97,217.0,100601.0
20160301:1600,-38.02,71.1,0.0,-0.0,0.0,127.05,0.97,216.0,100592.0
20160301:1700,-38.73,70.55,0.0,-0.0,0.0,127.05,0.97,216.0,100601.0
20160301:1800,-39.46,70.25,0.0,-0.0,0.0,127.25,0.97,220.0,100572.0
20160301:1900,-41.35,69.25,0.0,-0.0,0.0,126.3,0.97,223.0,100592.0
20160301:2000,-42.26,68.5,0.0,-0.0,0.0,125.3,0.9,222.0,100572.0
20160301:2100,-42.97,68.15,0.0,-0.0,0.0,129.55,0.9,225.0,100592.0
20160301:2200,-43.73,67.95,0.0,-0.0,0.0,127.25,1.03,227.0,100582.0
20160301:2300,-44.06,67.8,3.1,0.0,3.1,128.4,1.03,228.0,100611.0
20160302:0000,-42.79,68.05,59.75,249.46,27.7,129.35,0.83,234.0,100651.0
20160302:0100,-40.11,65.65,130.05,407.32,50.6,131.15,0.69,220.0,100631.0
20160302:0200,-37.14,61.4,201.55,603.48,56.45,128.4,0.62,215.0,100631.0
20160302:0300,-34.76,60.95,236.35,641.6,68.55,126.65,0.62,217.0,100572.0
20160302:0400,-32.82,61.1,251.2,728.66,64.0,129.0,0.62,217.0,100562.0
20160302:0500,-31.59,60.45,236.25,795.59,55.75,124.95,0.62,215.0,100523.0
20160302:0600,-31.05,60.15,187.7,803.84,48.25,125.5,0.69,214.0,100513.0
20160302:0700,-31.51,61.1,116.0,780.17,37.7,123.6,0.97,222.0,100513.0
20160302:0800,-32.78,65.55,16.05,0.0,16.05,123.95,0.9,221.0,100483.0
20160302:0900,-34.55,66.6,0.0,-0.0,0.0,124.55,1.03,218.0,100474.0
20160302:1000,-35.51,67.55,0.0,-0.0,0.0,129.35,1.24,221.0,100454.0
20160302:1100,-36.26,68.45,0.0,-0.0,0.0,128.4,1.31,219.0,100474.0
20160302:1200,-37.24,69.9,0.0,-0.0,0.0,123.2,1.38,215.0,100474.0
20160302:1300,-38.04,70.9,0.0,-0.0,0.0,123.2,1.31,209.0,100444.0
20160302:1400,-38.74,71.0,0.0,-0.0,0.0,125.5,1.31,206.0,100415.0
20160302:1500,-39.44,70.65,0.0,-0.0,0.0,122.8,1.31,206.0,100385.0
20160302:1600,-39.91,70.35,0.0,-0.0,0.0,124.75,1.31,205.0,100356.0
20160302:1700,-40.24,70.0,0.0,-0.0,0.0,128.6,1.24,205.0,100326.0
20160302:1800,-40.72,69.8,0.0,-0.0,0.0,123.4,1.24,203.0,100336.0
20160302:1900,-41.23,69.5,0.0,-0.0,0.0,124.55,1.17,199.0,100297.0
20160302:2000,-41.7,69.1,0.0,-0.0,0.0,132.65,1.17,198.0,100287.0
20160302:2100,-42.42,68.65,0.0,-0.0,0.0,124.35,1.24,201.0,100297.0
20160302:2200,-43.07,68.35,0.0,-0.0,0.0,123.0,1.24,203.0,100316.0
20160302:2300,-43.51,68.0,3.9,0.0,3.9,122.25,1.17,207.0,100316.0
20160303:0000,-42.08,68.35,68.3,306.53,26.9,123.2,0.9,218.0,100336.0
20160303:0100,-39.06,67.45,145.9,491.01,46.9,124.4,0.62,212.0,100306.0
20160303:0200,-36.28,65.85,213.6,649.87,53.1,122.25,0.55,207.0,100316.0
20160303:0300,-33.94,63.25,254.75,734.5,57.9,122.8,0.55,203.0,100306.0
20160303:0400,-32.19,62.05,264.3,773.86,60.55,124.35,0.62,193.0,100287.0
20160303:0500,-30.93,60.75,243.7,802.69,56.55,125.5,0.55,185.0,100257.0
20160303:0600,-30.25,60.05,193.9,799.91,50.2,126.45,0.48,179.0,100218.0
20160303:0700,-30.9,61.0,122.25,787.51,38.45,125.1,0.62,167.0,100208.0
20160303:0800,-31.97,64.9,18.05,0.0,18.05,125.1,0.76,174.0,100228.0
20160303:0900,-32.17,62.1,0.0,-0.0,0.0,125.1,0.76,194.0,100228.0
20160303:1000,-32.84,63.7,0.0,-0.0,0.0,125.3,0.83,199.0,100267.0
20160303:1100,-33.61,65.25,0.0,-0.0,0.0,125.5,0.83,195.0,100267.0
20160303:1200,-34.35,66.95,0.0,-0.0,0.0,125.3,0.9,190.0,100297.0
20160303:1300,-35.14,68.7,0.0,-0.0,0.0,125.3,0.83,194.0,100306.0
20160303:1400,-36.03,70.3,0.0,-0.0,0.0,124.95,0.76,197.0,100316.0
20160303:1500,-36.87,70.65,0.0,-0.0,0.0,124.55,0.76,196.0,100297.0
20160303:1600,-37.62,70.3,0.0,-0.0,0.0,124.35,0.83,196.0,100297.0
20160303:1700,-38.29,69.9,0.0,-0.0,0.0,123.95,0.83,198.0,100326.0
20160303:1800,-38.91,69.75,0.0,-0.0,0.0,123.75,0.9,200.0,100346.0
20160303:1900,-40.39,70.2,0.0,-0.0,0.0,123.0,1.1,200.0,100385.0
20160303:2000,-41.33,70.2,0.0,-0.0,0.0,123.4,1.17,206.0,100395.0
20160303:2100,-41.79,70.15,0.0,-0.0,0.0,122.8,1.24,208.0,100474.0
20160303:2200,-42.15,70.25,0.0,-0.0,0.0,122.8,1.31,211.0,100503.0
20160303:2300,-42.11,70.2,4.9,0.0,4.9,122.4,1.31,208.0,100592.0
20160304:0000,-40.75,70.35,75.7,334.93,28.25,123.2,1.24,210.0,100651.0
20160304:0100,-38.09,66.85,156.2,536.44,44.5,123.25,0.9,210.0,100660.0
20160304:0200,-35.01,62.95,221.6,659.3,54.45,123.95,0.76,205.0,100710.0
20160304:0300,-32.62,60.25,262.6,741.92,58.95,124.55,0.76,205.0,100739.0
20160304:0400,-30.85,58.25,273.2,791.66,59.7,125.5,0.83,200.0,100710.0
20160304:0500,-29.55,57.6,252.2,814.39,57.2,127.05,0.83,195.0,100729.0
20160304:0600,-28.77,57.65,202.0,813.44,50.85,127.8,0.76,197.0,100739.0
20160304:0700,-28.97,62.7,129.4,798.9,39.55,127.65,0.76,201.0,100749.0
20160304:0800,-29.16,57.9,19.8,0.0,19.8,127.25,0.62,205.0,100788.0
20160304:0900,-29.74,59.05,0.0,-0.0,0.0,127.8,0.62,203.0,100808.0
20160304:1000,-30.29,60.35,0.0,-0.0,0.0,128.2,0.55,197.0,100837.0
20160304:1100,-30.91,62.0,0.0,-0.0,0.0,128.4,0.55,194.0,100916.0
20160304:1200,-31.61,64.0,0.0,-0.0,0.0,128.8,0.62,186.0,100896.0
20160304:1300,-32.34,66.0,0.0,-0.0,0.0,128.8,0.69,190.0,100926.0
20160304:1400,-33.2,68.2,0.0,-0.0,0.0,128.8,0.76,194.0,100936.0
20160304:1500,-34.07,70.25,0.0,-0.0,0.0,128.8,0.83,192.0,100965.0
20160304:1600,-34.82,71.9,0.0,-0.0,0.0,129.0,0.9,189.0,100955.0
20160304:1700,-35.42,71.75,0.0,-0.0,0.0,129.15,0.97,186.0,100985.0
20160304:1800,-36.09,71.6,0.0,-0.0,0.0,129.55,1.1,187.0,101014.0
20160304:1900,-37.4,71.55,0.0,-0.0,0.0,129.55,1.1,195.0,101054.0
20160304:2000,-38.25,72.0,0.0,-0.0,0.0,130.9,1.17,198.0,101073.0
20160304:2100,-38.84,71.9,0.0,-0.0,0.0,131.1,1.24,204.0,101132.0
20160304:2200,-39.17,71.6,0.0,-0.0,0.0,131.7,1.17,206.0,101182.0
20160304:2300,-38.98,71.3,11.9,99.32,6.1,131.5,1.17,206.0,101231.0
20160305:0000,-37.6,71.35,80.05,333.76,30.55,132.85,0.97,208.0,101290.0
20160305:0100,-35.27,68.7,161.3,538.75,45.55,132.9,0.69,206.0,101319.0
20160305:0200,-32.6,64.1,221.15,641.48,54.3,134.2,0.55,205.0,101309.0
20160305:0300,-30.05,61.15,267.2,738.99,59.55,134.4,0.62,207.0,101378.0
20160305:0400,-28.22,59.75,277.5,786.69,60.3,135.9,0.69,203.0,101368.0
20160305:0500,-26.88,58.8,256.3,807.16,57.95,137.25,0.69,197.0,101349.0
20160305:0600,-26.1,58.4,206.35,806.53,51.5,139.0,0.55,191.0,101359.0
20160305:0700,-26.17,66.0,133.8,787.57,40.45,139.0,0.55,168.0,101398.0
20160305:0800,-26.17,58.45,21.45,0.0,21.45,139.6,0.41,166.0,101388.0
20160305:0900,-26.66,59.9,0.0,-0.0,0.0,139.95,0.28,185.0,101427.0
20160305:1000,-27.27,61.7,0.0,-0.0,0.0,141.7,0.21,202.0,101486.0
20160305:1100,-27.92,63.4,0.0,-0.0,0.0,142.85,0.14,176.0,101477.0
20160305:1200,-28.77,65.7,0.0,-0.0,0.0,143.05,0.14,181.0,101506.0
20160305:1300,-29.64,67.95,0.0,-0.0,0.0,145.55,0.21,196.0,101545.0
20160305:1400,-30.5,69.95,0.0,-0.0,0.0,145.0,0.34,200.0,101555.0
20160305:1500,-31.39,72.1,0.0,-0.0,0.0,142.65,0.41,198.0,101565.0
20160305:1600,-32.34,73.35,0.0,-0.0,0.0,142.85,0.48,209.0,101555.0
20160305:1700,-33.26,72.9,0.0,-0.0,0.0,140.75,0.62,210.0,101595.0
20160305:1800,-34.05,72.35,0.0,-0.0,0.0,140.35,0.69,206.0,101604.0
20160305:1900,-35.37,71.9,0.0,-0.0,0.0,139.4,0.9,212.0,101624.0
20160305:2000,-36.36,71.85,0.0,-0.0,0.0,139.6,0.97,210.0,101634.0
20160305:2100,-36.95,71.65,0.0,-0.0,0.0,139.0,0.97,211.0,101693.0
20160305:2200,-37.43,71.45,0.0,-0.0,0.0,139.2,1.03,212.0,101693.0
20160305:2300,-37.58,71.35,14.65,108.42,7.6,139.95,0.97,216.0,101772.0
20160306:0000,-35.79,71.3,84.0,318.75,34.6,144.8,0.69,231.0,101762.0
20160306:0100,-33.51,68.5,161.6,483.54,54.5,144.05,0.48,215.0,101772.0
20160306:0200,-30.06,64.1,225.85,599.0,66.1,143.45,0.41,208.0,101772.0
20160306:0300,-27.49,61.45,269.2,706.6,66.05,144.4,0.41,206.0,101762.0
20160306:0400,-25.67,60.9,279.05,746.89,68.05,145.35,0.34,195.0,101732.0
20160306:0500,-24.44,60.4,260.7,791.15,61.3,145.95,0.34,179.0,101703.0
20160306:0600,-23.75,60.15,211.3,794.99,53.75,146.55,0.34,164.0,101683.0
20160306:0700,-23.43,61.95,139.7,786.13,41.75,146.15,0.41,145.0,101654.0
20160306:0800,-23.63,60.15,23.3,0.0,23.3,146.55,0.28,131.0,101644.0
20160306:0900,-24.13,61.9,0.0,-0.0,0.0,147.1,0.21,146.0,101654.0
20160306:1000,-24.76,63.95,0.0,-0.0,0.0,146.7,0.07,186.0,101673.0
20160306:1100,-25.6,66.5,0.0,-0.0,0.0,147.5,0.14,182.0,101634.0
20160306:1200,-26.62,69.2,0.0,-0.0,0.0,146.55,0.21,194.0,101624.0
20160306:1300,-27.6,71.55,0.0,-0.0,0.0,146.55,0.34,200.0,101614.0
20160306:1400,-28.59,73.7,0.0,-0.0,0.0,146.15,0.48,198.0,101595.0
20160306:1500,-29.58,75.3,0.0,-0.0,0.0,145.75,0.62,196.0,101565.0
20160306:1600,-30.6,74.55,0.0,-0.0,0.0,145.35,0.76,197.0,101506.0
20160306:1700,-31.54,73.95,0.0,-0.0,0.0,145.0,0.83,199.0,101526.0
20160306:1800,-32.42,73.65,0.0,-0.0,0.0,144.4,0.97,200.0,101486.0
20160306:1900,-33.76,73.55,0.0,-0.0,0.0,144.2,1.03,200.0,101496.0
20160306:2000,-35.33,73.1,0.0,-0.0,0.0,148.85,1.1,201.0,101467.0
20160306:2100,-35.83,73.2,0.0,-0.0,0.0,143.65,1.17,205.0,101477.0
20160306:2200,-36.24,73.4,0.0,-0.0,0.0,143.45,1.31,208.0,101496.0
20160306:2300,-36.16,73.3,17.55,111.59,9.55,144.8,1.24,209.0,101477.0
20160307:0000,-34.24,73.8,91.95,354.73,34.6,143.05,1.1,205.0,101477.0
20160307:0100,-31.22,71.6,172.35,525.52,52.45,144.45,0.83,197.0,101447.0
20160307:0200,-27.99,68.95,238.7,652.59,60.35,143.85,0.83,196.0,101368.0
20160307:0300,-25.54,66.95,280.15,736.17,63.7,144.2,0.9,193.0,101359.0
20160307:0400,-23.72,65.25,291.05,786.03,63.95,145.95,0.97,190.0,101280.0
20160307:0500,-22.39,64.2,270.5,813.07,60.45,145.95,0.9,187.0,101231.0
20160307:0600,-21.62,64.15,220.15,811.3,54.35,148.05,0.83,189.0,101152.0
20160307:0700,-21.72,67.1,146.95,795.52,43.0,147.3,0.83,169.0,101103.0
20160307:0800,-22.49,67.2,63.7,918.92,24.85,146.55,0.83,175.0,101044.0
20160307:0900,-22.77,67.1,0.0,-0.0,0.0,146.55,0.69,188.0,100985.0
20160307:1000,-23.57,69.35,0.0,-0.0,0.0,146.55,0.69,188.0,100906.0
20160307:1100,-24.36,71.75,0.0,-0.0,0.0,146.7,0.83,181.0,100926.0
20160307:1200,-25.11,74.25,0.0,-0.0,0.0,146.35,0.9,178.0,100887.0
20160307:1300,-25.91,76.95,0.0,-0.0,0.0,147.5,0.83,175.0,100798.0
20160307:1400,-26.85,77.1,0.0,-0.0,0.0,147.3,0.76,176.0,100778.0
20160307:1500,-27.77,76.45,0.0,-0.0,0.0,147.5,0.76,183.0,100719.0
20160307:1600,-28.62,75.9,0.0,-0.0,0.0,147.5,0.83,191.0,100700.0
20160307:1700,-29.51,75.3,0.0,-0.0,0.0,145.95,0.83,198.0,100660.0
20160307:1800,-30.49,74.65,0.0,-0.0,0.0,145.0,0.76,199.0,100631.0
20160307:1900,-32.71,73.45,0.0,-0.0,0.0,145.2,0.83,222.0,100621.0
20160307:2000,-34.0,73.15,0.0,-0.0,0.0,145.0,0.9,225.0,100592.0
20160307:2100,-35.43,72.5,0.0,-0.0,0.0,145.55,0.97,230.0,100611.0
20160307:2200,-36.74,71.95,0.0,-0.0,0.0,144.6,1.03,229.0,100552.0
20160307:2300,-37.0,71.5,20.9,120.56,11.45,144.6,0.97,229.0,100611.0
20160308:0000,-35.14,72.05,93.3,302.58,42.35,143.85,0.62,224.0,100611.0
20160308:0100,-31.93,68.4,181.6,556.99,50.8,141.0,0.55,221.0,100601.0
20160308:0200,-28.7,66.25,246.7,665.93,60.3,141.3,0.48,223.0,100572.0
20160308:0300,-26.22,64.25,287.35,736.82,65.9,143.05,0.48,228.0,100562.0
20160308:0400,-24.41,63.3,297.6,782.48,66.5,143.45,0.41,229.0,100523.0
20160308:0500,-23.2,62.65,277.7,811.08,63.05,143.85,0.41,222.0,100513.0
20160308:0600,-22.59,62.3,228.15,820.95,55.3,143.85,0.48,212.0,100434.0
20160308:0700,-22.77,62.95,152.8,780.31,46.1,145.75,0.83,203.0,100444.0
20160308:0800,-23.86,67.8,68.95,868.38,27.05,143.05,1.03,203.0,100405.0
20160308:0900,-25.37,68.0,0.0,-0.0,0.0,142.5,1.03,207.0,100405.0
20160308:1000,-25.7,67.95,0.0,-0.0,0.0,142.3,0.97,211.0,100346.0
20160308:1100,-26.48,69.95,0.0,-0.0,0.0,142.65,0.97,206.0,100365.0
20160308:1200,-27.76,73.05,0.0,-0.0,0.0,142.3,1.1,195.0,100336.0
20160308:1300,-29.35,76.0,0.0,-0.0,0.0,142.3,1.31,188.0,100316.0
20160308:1400,-30.46,77.3,0.0,-0.0,0.0,142.85,1.31,189.0,100267.0
20160308:1500,-31.41,77.0,0.0,-0.0,0.0,143.25,1.38,185.0,100238.0
20160308:1600,-32.23,76.6,0.0,-0.0,0.0,141.9,1.45,182.0,100188.0
20160308:1700,-32.79,76.15,0.0,-0.0,0.0,142.5,1.45,180.0,100159.0
20160308:1800,-33.26,75.75,0.0,-0.0,0.0,142.5,1.38,179.0,100110.0
20160308:1900,-33.55,75.5,0.0,-0.0,0.0,146.7,1.38,181.0,100100.0
20160308:2000,-34.44,74.95,0.0,-0.0,0.0,144.8,1.45,178.0,100051.0
20160308:2100,-34.87,74.5,0.0,-0.0,0.0,146.15,1.38,179.0,100041.0
20160308:2200,-35.11,74.4,0.0,-0.0,0.0,145.95,1.38,183.0,100080.0
20160308:2300,-34.82,74.05,24.75,141.59,12.7,147.1,1.31,188.0,100031.0
20160309:0000,-33.06,74.0,94.7,288.09,44.25,153.85,1.03,193.0,100021.0
20160309:0100,-30.55,71.35,178.0,490.84,59.45,145.05,0.69,188.0,99972.0
20160309:0200,-27.37,67.0,246.75,612.49,71.25,147.1,0.62,188.0,99962.0
20160309:0300,-25.09,64.8,285.95,680.44,77.0,151.95,0.55,187.0,99952.0
20160309:0400,-23.38,63.0,298.4,737.16,75.95,150.6,0.55,178.0,99952.0
20160309:0500,-22.06,61.65,278.05,773.21,68.55,154.65,0.41,168.0,99893.0
20160309:0600,-21.3,60.8,230.4,790.37,59.1,153.45,0.28,161.0,99884.0
20160309:0700,-21.16,66.75,155.05,739.42,49.45,155.8,0.21,93.0,99864.0
20160309:0800,-21.41,60.95,68.05,630.69,33.85,159.25,0.41,25.0,99864.0
20160309:0900,-22.04,62.9,0.0,-0.0,0.0,158.3,0.55,8.0,99903.0
20160309:1000,-22.89,65.55,0.0,-0.0,0.0,153.85,0.55,351.0,99933.0
20160309:1100,-23.76,67.95,0.0,-0.0,0.0,161.55,0.55,349.0,99943.0
20160309:1200,-24.61,70.05,0.0,-0.0,0.0,162.35,0.41,337.0,99933.0
20160309:1300,-25.39,71.75,0.0,-0.0,0.0,163.7,0.34,313.0,99943.0
20160309:1400,-26.01,72.95,0.0,-0.0,0.0,168.7,0.41,290.0,99933.0
20160309:1500,-26.48,73.75,0.0,-0.0,0.0,171.0,0.41,281.0,99923.0
20160309:1600,-27.02,74.5,0.0,-0.0,0.0,165.05,0.41,274.0,99923.0
20160309:1700,-27.66,74.9,0.0,-0.0,0.0,159.65,0.41,264.0,99923.0
20160309:1800,-28.3,75.05,0.0,-0.0,0.0,160.05,0.48,248.0,99903.0
20160309:1900,-29.33,75.3,0.0,-0.0,0.0,152.9,0.69,233.0,99893.0
20160309:2000,-30.08,74.95,0.0,-0.0,0.0,156.35,0.69,227.0,99884.0
20160309:2100,-30.71,74.6,0.0,-0.0,0.0,155.6,0.83,226.0,99903.0
20160309:2200,-31.56,74.5,0.0,-0.0,0.0,168.7,0.83,225.0,99874.0
20160309:2300,-31.66,74.15,23.1,29.4,20.4,175.25,0.69,230.0,99884.0
20160310:0000,-30.27,71.7,90.65,171.0,59.55,170.05,0.41,228.0,99864.0
20160310:0100,-27.96,69.9,163.0,287.44,91.65,163.15,0.41,211.0,99844.0
20160310:0200,-24.82,65.95,245.85,549.53,84.75,159.25,0.41,203.0,99815.0
20160310:0300,-22.74,64.55,281.2,602.33,92.3,156.0,0.48,195.0,99815.0
20160310:0400,-21.2,62.9,292.65,633.38,97.45,157.7,0.48,193.0,99805.0
20160310:0500,-20.22,61.95,267.3,604.14,99.8,161.4,0.48,195.0,99756.0
20160310:0600,-19.77,61.8,218.45,595.29,85.75,159.85,0.41,191.0,99726.0
20160310:0700,-20.04,63.4,154.1,613.56,62.75,157.9,0.48,168.0,99697.0
20160310:0800,-20.58,64.25,64.1,313.94,45.2,163.1,0.55,166.0,99687.0
20160310:0900,-21.22,65.45,0.0,-0.0,0.0,161.75,0.69,166.0,99697.0
20160310:1000,-22.14,68.3,0.0,-0.0,0.0,160.6,0.76,169.0,99657.0
20160310:1100,-22.94,70.65,0.0,-0.0,0.0,163.7,0.83,170.0,99657.0
20160310:1200,-23.83,73.05,0.0,-0.0,0.0,157.7,0.9,179.0,99657.0
20160310:1300,-24.68,75.0,0.0,-0.0,0.0,152.9,0.9,177.0,99628.0
20160310:1400,-25.48,77.0,0.0,-0.0,0.0,150.0,0.97,169.0,99588.0
20160310:1500,-26.32,77.45,0.0,-0.0,0.0,149.4,1.03,158.0,99569.0
20160310:1600,-27.26,76.8,0.0,-0.0,0.0,149.4,0.83,159.0,99539.0
20160310:1700,-28.17,76.15,0.0,-0.0,0.0,152.7,0.69,167.0,99529.0
20160310:1800,-28.94,75.65,0.0,-0.0,0.0,152.7,0.69,173.0,99529.0
20160310:1900,-32.14,73.5,0.0,-0.0,0.0,148.45,0.62,196.0,99490.0
20160310:2000,-33.03,73.05,0.0,-0.0,0.0,149.8,0.62,201.0,99480.0
20160310:2100,-34.54,72.2,0.0,-0.0,0.0,159.25,0.55,213.0,99470.0
20160310:2200,-35.33,71.95,0.05,0.0,0.05,153.3,0.62,216.0,99490.0
20160310:2300,-34.78,71.95,29.6,96.84,20.05,160.2,0.41,239.0,99480.0
20160311:0000,-33.03,71.5,101.3,246.77,54.75,156.95,0.34,215.0,99480.0
20160311:0100,-29.63,68.6,187.95,442.65,75.1,151.6,0.41,205.0,99451.0
20160311:0200,-26.82,65.15,259.45,619.59,73.7,147.7,0.34,211.0,99461.0
20160311:0300,-24.56,64.0,301.25,693.59,79.2,147.9,0.28,210.0,99461.0
20160311:0400,-22.88,63.2,316.1,765.09,75.4,147.7,0.14,181.0,99421.0
20160311:0500,-21.78,62.8,293.9,780.64,72.55,148.25,0.21,116.0,99402.0
20160311:0600,-21.2,62.9,244.8,798.8,61.8,148.45,0.34,96.0,99372.0
20160311:0700,-21.58,61.9,166.05,716.67,55.0,150.6,0.41,77.0,99352.0
20160311:0800,-22.15,64.3,82.6,735.14,33.95,147.5,0.48,50.0,99362.0
20160311:0900,-22.69,64.25,0.0,-0.0,0.0,155.4,0.55,40.0,99343.0
20160311:1000,-23.43,66.7,0.0,-0.0,0.0,150.75,0.48,34.0,99382.0
20160311:1100,-24.26,69.55,0.0,-0.0,0.0,150.75,0.55,24.0,99352.0
20160311:1200,-25.06,72.15,0.0,-0.0,0.0,146.9,0.48,8.0,99382.0
20160311:1300,-25.87,74.6,0.0,-0.0,0.0,150.95,0.48,359.0,99352.0
20160311:1400,-26.64,76.05,0.0,-0.0,0.0,149.6,0.48,354.0,99372.0
20160311:1500,-27.3,76.65,0.0,-0.0,0.0,151.35,0.41,355.0,99362.0
20160311:1600,-27.85,76.3,0.0,-0.0,0.0,151.95,0.41,352.0,99352.0
20160311:1700,-28.31,76.0,0.0,-0.0,0.0,152.9,0.41,345.0,99333.0
20160311:1800,-28.76,75.75,0.0,-0.0,0.0,153.45,0.48,331.0,99343.0
20160311:1900,-30.4,74.6,0.0,-0.0,0.0,156.95,0.48,286.0,99372.0
20160311:2000,-31.24,74.1,0.0,-0.0,0.0,163.9,0.55,266.0,99382.0
20160311:2100,-32.0,73.6,0.0,-0.0,0.0,152.1,0.62,258.0,99411.0
20160311:2200,-32.8,73.3,0.25,0.0,0.25,156.0,0.76,250.0,99529.0
20160311:2300,-33.3,73.4,32.5,96.77,22.3,158.5,0.83,241.0,99559.0
20160312:0000,-31.74,72.7,109.7,281.2,54.75,155.4,0.41,255.0,99559.0
20160312:0100,-28.94,69.4,185.25,415.24,76.6,153.9,0.28,258.0,99579.0
20160312:0200,-26.21,66.85,239.8,453.78,100.75,155.2,0.28,282.0,99579.0
20160312:0300,-24.31,66.6,287.25,648.04,75.55,148.25,0.28,317.0,99598.0
20160312:0400,-22.92,65.6,308.05,698.72,83.75,150.6,0.41,339.0,99618.0
20160312:0500,-21.93,63.95,295.05,758.7,75.15,150.2,0.48,354.0,99598.0
20160312:0600,-21.67,63.9,215.95,646.08,63.95,149.25,0.55,1.0,99618.0
20160312:0700,-22.06,65.2,175.2,751.47,54.2,144.8,0.76,2.0,99628.0
20160312:0800,-22.75,69.85,87.5,714.46,35.95,144.4,0.83,5.0,99657.0
20160312:0900,-23.75,69.4,0.0,-0.0,0.0,144.4,0.83,360.0,99716.0
20160312:1000,-24.19,70.6,0.0,-0.0,0.0,141.7,0.83,343.0,99795.0
20160312:1100,-25.06,73.2,0.0,-0.0,0.0,140.75,0.83,326.0,99815.0
20160312:1200,-25.89,75.35,0.0,-0.0,0.0,140.55,0.9,311.0,99874.0
20160312:1300,-26.69,76.7,0.0,-0.0,0.0,140.55,0.9,305.0,99903.0
20160312:1400,-27.49,76.6,0.0,-0.0,0.0,138.25,0.9,298.0,99923.0
20160312:1500,-28.27,76.05,0.0,-0.0,0.0,137.65,0.9,291.0,99933.0
20160312:1600,-29.04,75.55,0.0,-0.0,0.0,136.9,0.9,289.0,99982.0
20160312:1700,-29.84,74.95,0.0,-0.0,0.0,136.9,0.9,283.0,99992.0
20160312:1800,-30.68,74.45,0.0,-0.0,0.0,136.1,0.9,278.0,100061.0
20160312:1900,-32.81,73.9,0.0,-0.0,0.0,136.1,0.97,255.0,100080.0
20160312:2000,-34.63,73.45,0.0,-0.0,0.0,136.9,1.03,250.0,100129.0
20160312:2100,-35.82,72.75,0.0,-0.0,0.0,135.75,1.03,242.0,100149.0
20160312:2200,-36.79,72.1,0.65,0.0,0.65,134.75,1.1,238.0,100208.0
20160312:2300,-36.97,71.5,45.45,216.12,21.2,138.45,0.97,228.0,100287.0
20160313:0000,-34.41,68.7,126.95,383.54,49.4,144.4,0.55,236.0,100336.0
20160313:0100,-31.36,67.15,208.25,510.47,71.25,142.35,0.48,236.0,100395.0
20160313:0200,-28.37,65.1,277.5,640.13,77.1,142.1,0.55,238.0,100405.0
20160313:0300,-26.07,64.7,316.45,713.83,78.6,142.85,0.55,237.0,100415.0
20160313:0400,-24.26,63.3,327.4,739.87,85.15,144.4,0.62,235.0,100424.0
20160313:0500,-23.13,62.25,296.45,676.07,96.25,149.8,0.62,236.0,100405.0
20160313:0600,-22.51,61.95,230.1,508.22,107.4,159.25,0.62,236.0,100434.0
20160313:0700,-23.47,62.2,154.7,399.52,87.95,162.55,0.62,227.0,100464.0
20160313:0800,-23.74,64.1,79.3,335.37,53.1,164.1,0.9,219.0,100474.0
20160313:0900,-24.59,68.5,0.0,-0.0,0.0,172.35,0.83,218.0,100542.0
20160313:1000,-25.77,70.1,0.0,-0.0,0.0,171.0,0.9,213.0,100572.0
20160313:1100,-26.33,70.05,0.0,-0.0,0.0,169.85,0.9,210.0,100631.0
20160313:1200,-26.6,70.15,0.0,-0.0,0.0,172.55,0.9,211.0,100651.0
20160313:1300,-27.09,71.1,0.0,-0.0,0.0,169.85,0.9,210.0,100670.0
20160313:1400,-27.58,72.05,0.0,-0.0,0.0,168.3,0.83,213.0,100670.0
20160313:1500,-28.29,73.25,0.0,-0.0,0.0,169.65,0.9,213.0,100690.0
20160313:1600,-29.04,74.0,0.0,-0.0,0.0,167.15,0.97,216.0,100719.0
20160313:1700,-29.57,74.25,0.0,-0.0,0.0,166.95,0.97,217.0,100739.0
20160313:1800,-30.09,74.4,0.0,-0.0,0.0,167.95,0.97,217.0,100759.0
20160313:1900,-31.48,74.85,0.0,-0.0,0.0,164.1,1.1,216.0,100808.0
20160313:2000,-32.39,74.35,0.0,-0.0,0.0,156.95,1.1,212.0,100788.0
